@relation tmp
@attribute att0 numeric
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute class {0,1}
@data
0.5,0.5,0.0,0.0,0,0,0.9089118660758247,0.907165109034268,0.6666666666666666,0.0,1.0,0.3333333333333333,0.09283489096573208,0.09108813392417528,0
0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
1.0,0.0,0.0,0.0,0,0,0.9761904761904762,0.9761904761904762,0.9089118660758247,0.9089118660758247,0.09283489096573208,0.09283489096573208,0.09108813392417528,0.09108813392417528,0
1.0,0.0,0.0,0.0,0,0,0.9761904761904762,0.9089118660758247,0.907165109034268,0.0,0.09283489096573208,0.09108813392417528,0.023809523809523808,0.0,0
0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
0.7777777777777778,0.1111111111111111,0.0,0.0,0,0,0.9331275720164609,0.9089118660758247,0.907165109034268,0.55,1.0,1.0,1.0,0.8181818181818182,0
0.46153846153846156,0.3076923076923077,0.07692307692307693,0.0,0,0,0.946236559139785,0.9406332453825857,0.9406332453825857,0.9166666666666666,1.0,1.0,1.0,0.8,0
0.46153846153846156,0.3076923076923077,0.07692307692307693,0.0,0,0,0.946236559139785,0.9406332453825857,0.9406332453825857,0.9166666666666666,1.0,1.0,1.0,0.8,0
0.46153846153846156,0.3076923076923077,0.07692307692307693,0.0,0,0,0.946236559139785,0.9406332453825857,0.9406332453825857,0.9166666666666666,1.0,1.0,1.0,0.8,0
0.5714285714285714,0.0,0.14285714285714285,0.0,0,0,0.9089118660758247,0.9089118660758247,0.907165109034268,0.907165109034268,0.7441860465116279,0.7441860465116279,0.7142857142857143,0.7142857142857143,0
0.5714285714285714,0.0,0.14285714285714285,0.0,0,0,0.9089118660758247,0.907165109034268,0.6129032258064516,0.5384615384615384,0.7441860465116279,0.7142857142857143,0.6923076923076923,0.46153846153846156,0
0.375,0.0,0.125,0.0,0,0,0.976878612716763,0.976878612716763,0.9387590652699436,0.9387590652699436,1.0,1.0,0.7441860465116279,0.7441860465116279,0
0.375,0.0,0.125,0.0,0,0,0.976878612716763,0.9387590652699436,0.9089118660758247,0.907165109034268,1.0,0.7441860465116279,0.6923076923076923,0.6,0
0.4,0.13333333333333333,0.13333333333333333,0.0,0,0,0.9387590652699436,0.9387590652699436,0.9387590652699436,0.9089118660758247,1.0,1.0,1.0,1.0,0
0.375,0.125,0.125,0.0,0,0,0.9387590652699436,0.9387590652699436,0.9089118660758247,0.907165109034268,1.0,1.0,0.7441860465116279,0.6923076923076923,0
