关键词,模型,类别,准确率,召回率,f-值,样本数,类别,准确率,召回率,f-值,样本数
太阳能,randomforest,1,0.62,0.95,0.75,19,0,0.90,0.45,0.60,20
周大生,randomforest,avg / total,1.00,1.00,1.00,19,1,1.00,1.00,1.00,19
大北农,randomforest,avg / total,1.00,1.00,1.00,32,1,1.00,1.00,1.00,32
木林森,randomforest,1,1.00,1.00,1.00,91,0,1.00,1.00,1.00,8
深高速,naivebayes,1,0.87,0.93,0.90,718,0,0.85,0.73,0.78,381
太平鸟,randomforest,avg / total,1.00,1.00,1.00,34,1,1.00,1.00,1.00,34
中国重工,randomforest,1,1.00,1.00,1.00,19,0,1.00,1.00,1.00,2
漫步者,naivebayes,1,1.00,0.95,0.97,19,0,0.93,1.00,0.96,13
得利斯,randomforest,avg / total,1.00,1.00,1.00,20,1,1.00,1.00,1.00,20
人民网,randomforest,1,1.00,1.00,1.00,9,0,1.00,1.00,1.00,19
华侨城,randomforest,1,0.99,1.00,0.99,2916,0,0.92,0.66,0.77,119
佛山照明,randomforest,1,1.00,1.00,1.00,41,0,1.00,1.00,1.00,2
广生堂,randomforest,avg / total,1.00,1.00,1.00,34,1,1.00,1.00,1.00,34
南京医药,randomforest,avg / total,1.00,1.00,1.00,6,1,1.00,1.00,1.00,6
东方能源,randomforest,1,1.00,1.00,1.00,4522,0,1.00,0.75,0.86,4
云南白药,randomforest,1,1.00,1.00,1.00,106,0,1.00,1.00,1.00,3
张家界,svm,1,0.70,0.78,0.74,785,0,0.76,0.68,0.71,796
太平洋,naivebayes,1,0.86,0.90,0.88,20,0,0.93,0.90,0.92,30
格力电器,randomforest,1,0.99,0.97,0.98,427,0,0.54,0.68,0.60,19
海量数据,randomforest,1,0.94,1.00,0.97,16,0,1.00,0.95,0.97,19
日出东方,naivebayes,1,1.00,0.93,0.96,28,0,0.90,1.00,0.95,19
上海环境,randomforest,avg / total,1.00,1.00,1.00,3,1,1.00,1.00,1.00,3
超频三,randomforest,avg / total,1.00,1.00,1.00,5,1,1.00,1.00,1.00,5
全通教育,randomforest,1,1.00,1.00,1.00,311,0,1.00,1.00,1.00,8
兄弟科技,randomforest,avg / total,1.00,1.00,1.00,19,1,1.00,1.00,1.00,19
新希望,randomforest,1,0.93,0.99,0.96,4606,0,0.72,0.23,0.35,462
